"rider_type","end_station_name","number_of_rides"
"casual","Long Ave & Belmont Ave",166
"casual","Vernon Ave & 79th St",163
"casual","Prospect Sq & 91st St",162
"casual","Sacramento Blvd & Franklin Blvd",161
"casual","Central Ave & Lake St",157
"casual","Racine Ave & Garfield Blvd",157
"casual","Rockwell St & 57th St",156
"casual","Lawndale Ave & 111th St",153
"casual","Halsted St & 51st St",152
"casual","Homan Ave & 65th St",152
"casual","Public Rack - Pulaski Rd & Armitage Ave",152
"casual","Western Ave & 104th St",152
"casual","Kostner Ave & Armitage Ave",150
"casual","Austin Blvd & Chicago Ave",147
"casual","Malcolm X College",147
"casual","Oak Park & Wellington",147
"casual","California Ave & Winona St",144
"casual","Rainbow Beach",144
"casual","Komensky Ave & 55th St",141
"casual","Vernon Ave & 75th St",141
"casual","Cottage Grove Ave & 71st St",140
"casual","Halsted & 63rd - Kennedy-King Vaccination Site",140
"casual","Kedzie Ave & 45th St",140
"casual","Central Ave & Parker Ave",139
"casual","Austin Blvd & Madison St",138
"casual","Harding Ave & 26th St",137
"casual","Latrobe Ave & Chicago Ave",137
"casual","Tripp Ave & 65th St",137
"casual","N Clark St & W Elm St",136
"casual","Public Rack - Monticello Ave & Belmont Ave",136
"casual","Pulaski Rd & Lake St",136
"casual","Artesian Ave & 55th St",135
"casual","Stony Island Ave & 90th St",135
"casual","Cicero Ave & Grace St",134
"casual","Ellis Ave & 83rd St",133
"casual","Lamon Ave & Chicago Ave",133
"casual","Ping Tom Park (East)",133
"casual","Stewart Ave & 63rd St",133
"casual","Halsted St & 78th St",132
"casual","Orange & Addison",132
"casual","Public Rack - Mozart Elementary School",131
"casual","Public Rack - Lowell Ave & Elston Ave",130
"casual","Seeley Ave & Garfield Blvd",130
